#fields:  name;RG;dataNascimento
Snyder Vega;599126818;1990-11-05
Mildred Barrera;950673374;1952-09-13
Lindsey Horton;152570996;1931-04-05
Jodie Nieves;519156250;1978-05-09
Shelley Grimes;994468379;1973-06-07
Lula Gordon;296253444;1981-07-07
Knox Hodges;544492339;1955-09-25
Pitts Whitney;143898898;1953-01-20
John Morse;332546302;1963-01-05
Melody Bryan;899363934;1975-09-13
Deloris Mcclure;463314393;1938-06-12
Lang Guy;733117161;1979-10-18
Brandie Mccray;469775549;1987-01-31
Wong Foster;725950965;2010-01-13
Boyd Johns;584587732;2011-01-17
Ora Petersen;895386955;1928-07-16
Katrina Parrish;128143185;1972-03-18
Whitley Whitaker;189320245;1961-12-16
Holden Greer;499614111;1997-11-12
Buchanan Henderson;797615032;1989-10-27
Shaffer Baldwin;815355965;1963-07-22
Alfreda Delacruz;75789990;1920-04-16
Misty Allison;386350647;1934-10-05
Emily Dickson;338455221;2000-10-16
Jami Barber;367779841;1918-09-17
Trina Merrill;429817657;1933-07-21
Veronica Lawson;88475847;2012-03-13
Rush Baxter;584853797;2006-06-21
Heidi Watts;849846866;1993-10-24
Elnora Kelley;338059140;1981-08-16
Jessie Rios;711092146;2002-06-06
Cecelia Wilkins;882987332;1934-07-16
Patterson Peterson;668571186;1940-09-23
Lorene Boyle;914658669;1934-11-18
Walls Hancock;299865215;1992-10-24
Flossie Neal;893381032;1925-02-27
Sherri Horne;785349482;1956-07-26
Solomon Camacho;381125801;1939-05-19
Judith Munoz;74393549;1931-02-11
Poole Mendez;377236670;1960-12-14
Leanna Kennedy;967925594;1983-09-20
Reyes Sanchez;917432396;1983-10-24
Helena Ochoa;96865559;1978-03-19
Kaufman Hill;840361500;1934-07-23
Diann Weaver;999070200;1997-03-27
Rosie Carpenter;9657843;1945-04-20
Beach Kirk;91391818;1948-09-27
Robbins Keller;153768569;1957-12-12
Sears Sellers;736967885;1985-10-14
Torres Holt;222025676;1975-01-29
Tammie Wright;467000991;1995-10-22
Rollins Hurst;975818189;2014-03-31
Patel Mullen;852113403;1915-11-08
Wilder Simon;821507082;1924-04-07
Larsen Beck;390156601;1962-04-02
Myra Valdez;275286872;2003-11-20
Conway Cabrera;971896570;1979-08-09
Jeannie Odom;320518797;1978-06-25
Inez Livingston;9189698;2006-07-13
Gonzalez Franklin;371987206;1970-03-27
Nash Mills;830803679;1966-04-09
Ruthie Gay;921613510;2009-08-18
Gallagher Lara;672448527;1966-02-14
Goldie Olson;840116016;1956-07-15
Sylvia Gilbert;870477603;1942-09-14
Shannon Butler;965250058;1982-03-28
Sherry Downs;180242207;1999-08-02
Michael Raymond;176382402;1951-01-13
Garza Savage;542364417;1924-05-01
Ida Dillard;791138482;1945-09-26
Sheryl Hall;767198585;1998-01-12
Wilson Leonard;473759682;1986-12-20
Christy Wyatt;339327333;1962-02-15
Lauren Mayo;3882375;1979-09-30
Walton Leon;677469607;1923-08-27
Lois Dunn;382615763;1994-09-04
Roseann Casey;337630469;1990-08-01
Austin Adams;882085612;1937-12-01
Gutierrez Chaney;765298908;1998-11-14
Ingram Mclean;372607161;1973-05-12
Cash Ross;738886604;1988-06-16
Jeanne Hampton;678555688;2006-12-23
Tyson Spence;662816444;1976-04-18
Robert Sweeney;808469882;1916-04-09
Galloway Lindsay;591721834;1929-06-29
Betty Lane;740118097;1987-12-06
Concepcion Fischer;575944012;1959-07-05
Lottie Franks;528908280;1937-07-26
Lizzie Warren;520438613;1998-05-24
Bishop Ferguson;838058713;1965-07-29
Vilma Scott;796383126;1975-12-26
Pamela Mcleod;530768446;1959-09-05
Hayden Wallace;918656231;1960-03-02
Dale Lott;713530795;1942-01-01
Milagros Medina;493413148;1952-02-13
Gayle Short;988522;1986-04-14
Kerri Taylor;648572668;1992-08-30
Odessa Malone;724603528;2003-04-29
Hernandez Mckay;297652888;2009-01-31
Sharon Holloway;270440904;1928-05-20
Kara Whitehead;846327322;1952-05-21
Buckley Hurley;560385807;1972-08-22
Dudley Blair;615432922;1972-11-09
Gwen Lowe;350324778;1965-03-30
Russo Perkins;972746471;1990-05-05
Margery Brennan;286236921;1920-02-26
Kirsten Sweet;492387856;2013-03-05
Rosetta David;478227359;2003-09-02
Cooke Young;729926390;1987-04-25
Donovan Jones;509070281;1924-05-26
Kristie Santana;202310596;1953-01-28
Mendoza Caldwell;623553344;1971-06-24
Therese Copeland;942248902;2003-04-29
Susan Golden;189971609;1940-09-18
Sally Finley;568609233;1932-01-26
Vicky Daugherty;114119704;2003-03-10
Josie Boyd;932334503;2001-02-18
Jennie Nichols;583384723;1927-12-19
Stephenson Gutierrez;314677505;1916-07-04
Jennifer Evans;490530925;1957-08-18
Annie Maldonado;319515992;2000-01-21
Stacy Boyer;972571372;1954-10-23
Aurelia Conner;497526505;1977-02-04
Bean Castaneda;364085482;1933-09-15
Landry Pate;548062798;2001-07-13
Knowles Hensley;249520599;1953-04-24
Holloway Hunter;325332552;1981-06-04
Horn Bolton;416219972;1927-10-08
Mccoy Dorsey;793602193;1994-02-23
Alicia Chavez;12773415;1921-02-19
Colon Howe;340730384;1946-11-11
Cindy Sims;797669894;1958-01-10
Elaine Sawyer;195367835;1942-02-24
Maritza Ortega;692135991;1946-12-17
Bender Campos;137925879;1932-02-21
Edna Bradley;986219330;1920-08-01
Cassie Huber;650859452;2013-12-02
Crystal Huffman;250181673;2003-09-20
Katie Rowland;405814305;1924-06-16
Morgan Gregory;704922676;1946-08-16
Delores Wolfe;658819912;1985-08-19
Fleming Rosales;283787436;1995-12-29
Pat Rush;207071999;1931-12-24
Rene Leach;757411145;2013-09-18
Middleton Tyson;894126243;1936-07-24
Floyd Watson;852314595;1947-01-17
Stephens Craft;966039497;1937-06-03
Marcia Webb;611745697;1923-07-03
Wanda Mcgee;407851055;1987-03-01
Tyler Williamson;46227023;1986-11-16
Marisol Newman;698932894;1925-02-25
Deirdre Mueller;250245579;2000-10-11
Wallace Cameron;476179103;2006-02-15
Maggie Garner;245141069;1955-01-31
Grace Zamora;509508314;1937-07-15
Paige Orr;222007238;2007-05-24
Holt Dickerson;263660577;1992-04-17
Maldonado Faulkner;173522990;1973-09-20
Sims Barnes;381760365;1957-10-30
Estela Stanton;960433881;1936-09-26
Mitzi Rogers;537848961;1943-05-08
Barr Bean;197487901;1998-02-20
Marshall Mcpherson;727760773;1963-12-16
Atkinson Boone;278019203;1993-05-11
Melisa Leblanc;750505239;1922-11-19
Castaneda Baird;917612747;1964-08-23
Atkins Martin;83337843;1927-09-27
Freda Noel;510471219;1937-07-04
Connie Cherry;813254435;1947-03-26
Beverly Carson;898952873;1964-09-01
Beck Cook;719159000;1973-07-25
Bray Douglas;90423439;1960-05-22
Collins Hickman;903451365;1991-09-20
Jessica Maxwell;399346482;1986-06-01
Foster Rosa;811111357;1929-06-08
Rodgers Graves;302260377;1973-10-15
Luisa Moses;597054666;1926-12-15
Lawson White;207006321;1961-06-14
Bessie Abbott;110074546;1961-06-09
Vonda Hudson;727583004;1974-06-06
Ophelia Bryant;558716404;1969-01-18
Eaton Rosario;147130377;1996-10-01
Arlene Shepherd;872249397;1957-09-07
Shelton Reeves;307157268;1918-03-27
Ramona Ferrell;928073960;2010-11-14
Short Sosa;494815473;1989-09-30
Katharine Head;65343553;2007-03-23
Letha Rodriquez;118824736;1917-11-30
Benita Prince;407377241;2006-01-24
Goff Mcmillan;432527867;1947-07-20
Candace Lucas;578321839;1984-03-22
Mcneil Villarreal;852609503;1927-10-15
Angelina Kane;895900506;1936-11-30
Sellers Walls;796774673;1971-07-20
Juliette Herman;403904145;2009-08-21
Mckay Hendricks;555328991;1996-01-27
Holman Bradshaw;339472458;1974-01-23
Lacey Solomon;702227286;1922-10-14
Terra Mooney;382937391;1929-10-08
Ramsey Bowman;533008829;1952-02-07
Dalton Albert;215511598;1915-06-11
Kirkland Franco;169775387;2011-08-25
Mae Carey;279981496;2010-07-22
Rae Delaney;351712824;1964-01-23
Clarice Fuentes;852976049;1973-09-25
Daisy Gibson;667635064;1996-03-30
Bridget Barnett;537329689;1989-08-22
Waters Smith;609629129;1918-02-03
Kirk Welch;476827662;2011-12-25
Ashlee Elliott;460899371;1996-07-01
Anderson Jimenez;146034914;2010-04-11
Rowland Mckinney;645802650;2004-08-09
Cecilia Ward;559169909;1935-04-05
Violet Winters;861402295;1985-11-30
Berger Booker;604731756;1974-02-28
Wilma Park;529970203;1938-05-20
Bertha Joyce;724147493;1982-10-12
Roslyn Berg;919668754;1984-12-31
Clare Chambers;964732148;1922-03-24
Haley Martinez;598742362;1933-05-11
Armstrong Gray;55592326;2001-08-28
Susanne Robertson;720644201;2015-11-28
Price Sears;422428700;1995-06-15
Carmen Cruz;428079332;1916-10-10
Payne Jackson;260066921;2002-07-30
Doris Norman;329036482;1935-04-01
Manning Lang;884665379;1935-09-18
Byers Norris;479833294;2015-12-23
Robyn Gomez;700789989;1970-07-25
Coleen Wooten;501660131;1987-01-13
Fitzpatrick Hawkins;352628448;1997-05-17
Morrison Griffin;732870981;1974-03-18
Doreen Holden;830933424;2015-07-05
Velazquez Conway;592350937;1969-04-28
Glenda Knowles;837774206;1960-06-17
Rosemary Meyer;389551687;1922-04-15
Banks Arnold;67150741;1942-06-06
Dana Kaufman;588613377;1930-01-16
Kaitlin Patrick;911940511;2004-07-08
Anita Hunt;254716233;2005-02-20
Byrd Hansen;600738872;1920-06-23
Hall Morris;966378041;1973-04-01
Shepard Houston;784290122;1991-01-01
Leah Barton;613240151;1962-03-16
Liz Sandoval;89544323;1994-09-20
Eugenia Morrison;3679232;2000-10-28
Mckinney Roth;120302367;1953-12-31
Dionne Cunningham;366822762;1939-09-17
Clarissa Walsh;553402789;1992-08-09
Kelly Forbes;363514636;1987-04-21
Deidre Cochran;561667346;2014-01-17
Althea Grant;853219049;1964-04-16
Brennan Molina;203748928;1966-12-21
Fry Mcfarland;173619509;2015-11-17
Patrica Peters;152243619;1922-10-06
Humphrey Foley;161576638;1983-07-23
Bernice Santos;239648593;1955-01-29
Annabelle Ruiz;411176718;1930-09-24
Lily Melton;555215106;1929-12-08
Hallie Yates;833913886;1992-04-28
Anastasia Figueroa;986690102;1960-09-08
Best Byrd;269592847;1970-07-12
Hodges Schultz;144227401;1968-07-09
Whitney Eaton;692066828;1929-11-30
Hoffman Heath;10524971;2001-03-28
Brooks Vasquez;207396067;1964-02-20
Ruiz Justice;656195844;1984-07-19
Moon Booth;27444810;1931-05-30
Nielsen Gill;86770142;1955-10-11
Robinson Wade;668858563;1970-02-07
Peterson Owens;232859345;1941-06-11
Kerr Rose;680463671;2005-04-24
Marla Mcdaniel;145674874;2004-05-09
Mallory Wilson;945308753;1982-12-29
Richards Osborn;220604612;2005-10-09
Carver Johnston;493374361;1962-01-21
Emma Snow;459614841;2008-02-13
Rodriquez Bailey;355483361;1953-04-25
Elvira Tran;173803429;1952-11-02
Kristina Robbins;304372432;1964-02-04
Simone Goff;526504413;1961-09-17
Rose Robles;851869532;2001-02-16
Nichols Montoya;992294156;1915-05-11
Eula Valenzuela;86359435;1915-09-03
Vang English;205015094;1986-12-02
Cross Mason;311409064;1916-04-04
Graciela Murray;126694929;1984-10-18
Reva Dotson;939532826;1956-04-01
Alison Weiss;756654001;1986-03-09
Alexis Skinner;112575072;1968-05-04
Lakeisha Nash;212960603;1962-03-02
Trevino Macias;513103826;1985-07-03
Luz Rowe;510490672;1961-12-22
Brock Saunders;214089992;1953-03-05
Molly Hughes;447790307;1985-03-05
Richard Benson;979885930;1934-05-06
Peters Dennis;882024112;2006-03-24
Elsie Wise;724830263;1920-04-19
Gentry Phelps;367954744;1958-02-23
Bettye Talley;2857102;1925-11-15
Claudia Mcneil;497553549;1946-06-05
Becker Glover;991758895;1961-09-12
Olson Morin;580143522;1995-01-08
Margie Waller;98679145;1959-09-06
Howard Horn;114257992;1968-02-13
Oliver Chapman;464040785;1966-10-12
Hendricks Woodard;303933697;1962-07-14
Nettie Snyder;569556095;1973-02-04
Mills Ashley;984798106;1953-03-31
Pauline Farley;52829591;1999-05-22
Oconnor Stephenson;379149076;1982-03-10
Hart Atkins;578530782;1945-05-17
Stacie Roberts;206033648;1942-01-05
Brandi Atkinson;384365557;1953-04-08
Amber Oneill;663417661;1923-09-05
Avery Witt;129555218;1962-10-27
Newman Whitfield;455195411;1931-08-26
Hanson Mccall;235395297;1974-11-26
Noemi Good;465341324;1991-05-21
Darcy Mckee;584624961;1930-11-06
Oneal Mccullough;388367467;1963-09-27
Liliana Banks;552912967;1972-08-11
Jefferson Marks;864766650;1964-08-20
Lou Suarez;952141344;1927-10-05
Zelma Hutchinson;744419340;1984-10-28
Rivera Gross;804430946;2014-12-26
Rosalyn Luna;444989973;1929-12-16
Nadia Stanley;489458156;1982-04-13
Shields Briggs;12581828;1975-10-08
Gail Delgado;940814091;1992-05-24
Carrillo Greene;84942356;1986-04-20
Dejesus Koch;209479733;1916-03-30
Bolton Calderon;240881258;1979-06-30
Smith Deleon;37558269;1937-06-16
Prince Barr;85281713;1954-02-26
Wynn William;633208440;1952-11-21
Hurley Farrell;304438997;1952-06-22
Velasquez Haney;658856700;1926-07-13
Blake Michael;960669419;1919-10-26
Elva Diaz;599286858;1936-02-19
Hubbard Huff;609201216;2011-12-03
Snow Ramos;213482199;1930-10-31
Goodwin Lopez;785527625;2015-09-05
Dona Fisher;135048469;1969-07-05
Kristin Fitzgerald;885393759;2016-03-13
Farmer Bentley;968013689;1986-03-11
Warner West;981861467;1960-04-03
Griffith Bauer;310776204;1941-06-07
Alston Cooper;330492536;1980-02-20
Lynda Stevens;70657122;2010-01-25
Wood Guzman;938086411;1988-12-04
Kate Alvarez;624173139;2006-02-18
Douglas Stout;957366939;1971-01-12
Jody Hess;755249331;1955-05-23
Sophie Richard;774626513;1936-04-05
Mckee Rice;806873404;2006-09-27
Jenifer Joseph;571487490;1980-03-14
Eliza Best;29591663;1994-09-10
Audra Allen;9943172;2001-12-12
Ronda Weber;20563605;1967-11-03
Adams Harding;306292495;1934-02-17
Lynch Shepard;398637191;2010-10-07
Sheree Wood;755816580;1932-03-15
Sweeney Christian;188146498;1948-10-03
Jenna Bowers;173781137;1928-02-18
Cannon Snider;749050455;1958-04-04
Caroline Moody;441333645;2011-12-24
Marie Hendrix;721957940;2012-08-07
Serena Tucker;526539944;1921-12-23
Betsy Velez;213673084;1958-12-13
Savage Rutledge;865136399;1950-08-04
Langley Potter;117747523;2008-03-07
Sonya Goodman;777920812;1973-06-10
Elma Oliver;821261795;2009-08-23
Fox Dudley;705253582;1919-04-30
Parks Kent;836950089;1952-07-08
Stevenson Duke;122365281;1919-07-06
Combs Reed;909916776;1966-09-25
Maricela Bray;341476128;1971-10-23
Christina Finch;568911606;1977-12-08
Brittney Hopper;372718631;1954-01-02
Adkins Dejesus;660489284;2013-05-11
Harris Jarvis;105343427;1918-07-30
Glover Fleming;316188123;1942-08-19
Tanisha Hernandez;378591822;1960-03-30
Louise Sullivan;744746006;2011-10-17
Rose Dixon;756382748;1971-01-09
Finch Hardy;880009493;1960-08-01
Lynn Hale;781814225;2015-02-19
Faye Clark;900576562;1982-06-24
Patton Terry;161087771;2001-06-18
Robin Hardin;115892710;1931-12-14
Tiffany Yang;165974157;1973-05-25
Park Mcintosh;301256408;1964-09-24
Thornton Thompson;776435187;1983-07-04
Maria Decker;866999879;1988-12-10
Chandler Andrews;881765075;1984-06-09
Hutchinson Middleton;856723468;1979-06-09
Sanchez Mendoza;671319722;1981-01-16
Wells Carroll;760967038;1932-12-21
Claudine Lancaster;71346968;1989-04-03
Meredith Lester;82791017;2010-12-29
Tanner Lynch;358737848;1930-02-20
Bethany Moon;989977140;1920-10-24
Ila Sykes;563992035;1979-08-25
Jean Gonzalez;857802082;2005-04-01
Todd Serrano;789669911;2014-09-06
Simon Weeks;928419265;1951-04-07
Bobbi Obrien;514111320;2003-02-22
Lynne Howard;352032697;1931-05-04
Rosales Hahn;352797484;1952-08-07
Kennedy Wiley;820361278;1930-02-18
Eileen Le;726757048;1992-12-27
Stella Burnett;512571618;1977-12-28
Kelly Carter;704449842;2008-06-28
Henry Lowery;919268599;1960-09-05
Barry Ingram;747260590;1937-06-13
Paulette Larsen;899643466;1936-06-09
Ina Byers;721698114;2007-11-28
Erica Drake;302125354;1917-02-16
Autumn Richardson;823600480;1967-04-20
Dotson Dominguez;214000424;1926-09-23
Barlow Hooper;764709792;1956-06-22
Grimes Bennett;146555966;1930-03-07
Kristine Page;893998782;1963-11-01
Woodard Kelly;676083928;2004-11-16
Mcbride Fernandez;845339207;1927-08-04
Lucile Flynn;555107312;1931-10-20
Marquita Warner;741515647;1980-08-24
Blackwell Haynes;443553908;1944-11-04
Fanny Sexton;141060672;1951-05-12
Alexandria Hayden;3730623;1933-07-09
Vargas Ayers;426252990;1954-07-06
Contreras Dale;468296737;1964-06-01
Pacheco Christensen;621351398;1956-10-30
Dominguez Rodriguez;218901520;1983-12-02
Hobbs Randall;40387619;1979-01-05
Waller Cox;682956796;1978-04-27
Delia Clemons;357900078;1945-12-08
Knight Steele;741333530;1993-04-15
Ola Carney;732832760;1995-05-18
Charlene Randolph;59987444;1949-02-10
Conner Palmer;329755092;1991-10-08
Valerie Duran;575476819;1966-12-03
Lawanda Massey;827273679;1939-05-28
Penelope Jacobs;990188523;1954-11-03
Ursula Jordan;294932057;1976-05-13
Cabrera Nixon;218348794;1943-09-25
Imelda Kidd;686238756;1970-05-30
Moran Sutton;552686360;1978-10-25
Earlene Sherman;475476535;2011-02-23
Frazier Washington;957716601;1942-02-09
Mcmahon Pratt;800952979;1953-08-18
Soto Walton;551720080;1974-11-13
Deana Levine;487120699;1964-04-19
Cook Montgomery;645644152;1925-10-29
Harriet Preston;351372533;1998-05-11
Vance Cole;787825265;1964-05-10
Allison Trujillo;74486316;1971-01-11
Delacruz Burris;180527435;1941-01-25
Leblanc Lyons;229822519;1950-09-04
Etta Holland;765051223;2007-06-05
Fisher Cortez;822467199;1961-03-23
Jacklyn Rasmussen;706171600;1925-09-16
Kathie Craig;246050436;1984-03-01
Stone Avery;46112181;1948-02-20
Karina Mercado;94374931;1988-02-09
Ivy Vaughan;992412050;1988-05-28
Mccullough Cobb;903666782;2016-01-20
Winifred Parker;667456416;1976-02-17
Rebecca Perez;971850282;2002-06-17
Norman Mitchell;656449292;1931-12-07
Samantha Johnson;802873657;2015-07-28
Sloan Tyler;461738092;2010-03-11
Daniel Wong;21430613;1941-01-08
Yang Matthews;803652926;1958-04-26
Barnes Bernard;334678581;1962-12-20
Tonya Walter;759898169;1931-04-29
Reese Paul;142820030;1978-07-28
Brandy Sparks;292495856;1983-04-26
Baldwin Shaw;935456522;1917-12-17
Opal Haley;839999066;2003-11-13
Toni Mosley;761133978;1973-04-21
Huber Marsh;168302524;1916-06-14
Dennis Mcbride;723358327;1974-04-13
Dawson Blankenship;543516349;1928-03-26
Gilliam Crawford;994284511;1957-05-07
Morse Kim;894638098;2012-02-07
Harvey Wells;858266060;1951-01-15
Thelma Alford;800567433;1918-01-28
Richardson Brown;345034303;1964-03-26
Marlene French;783026248;2003-10-06
Essie Cleveland;485969045;2008-03-10
Priscilla Key;320952148;1965-02-11
Craig Stevenson;812079645;1997-02-18
Washington Strong;528663225;1918-08-30
Townsend Garrison;567574235;1998-06-20
Odonnell Dunlap;438895588;1967-02-15
Kramer Waters;148222676;2008-02-10
Bradley Gonzales;994094328;1956-10-26
Gina Flowers;351674417;1938-07-20
Leigh Larson;75415067;1955-09-18
Julie Hays;267061614;1935-04-19
Lara Hoffman;313836787;1934-05-04
Carroll Velasquez;631876325;1993-06-20
Keisha Harrington;936086069;1939-05-31
Scott Valentine;594866286;1917-08-15
Cristina Wall;51868479;2004-07-21
Daphne Reid;320937477;1995-11-26
Frank Jenkins;483051918;1938-02-04
Meagan Roberson;363211873;1964-08-05
Jan Graham;541557331;1936-09-19
Dodson Ray;197176612;1994-09-16
Mccray Coleman;804011318;1994-03-19
Lillian Wilcox;558119255;1943-08-21
Krista Guerrero;615179738;1945-02-28
Jolene Wilder;5006912;1986-11-14
Summer Vinson;370625922;1937-04-24
Boone Lewis;407894854;2000-06-21
Bowers Ellis;757268725;1950-11-11
Skinner Hanson;354594738;1972-03-11
Booth Green;691516930;1957-02-20
Joann Riddle;918974361;1967-10-02
Vicki Blackwell;257243378;1915-01-18
Esperanza Long;125168701;1946-04-04
Rivers Wagner;171364986;1937-02-01
Lopez Benton;92257629;1917-09-26
Mandy Collier;178901706;1943-11-29
Nanette Nielsen;280194345;1995-09-23
Roberta Sloan;944792068;1961-08-26
Louisa Burke;6270857;1916-10-28
Zamora Cardenas;951806942;2007-12-18
David Rojas;202090019;1940-02-09
Kirby James;194287368;1934-11-14
Montoya Rodgers;25012064;1925-04-22
Bowman Simpson;71965150;1982-03-05
Mcguire Russell;790586767;1923-10-18
Carissa Mcknight;350440090;1942-11-01
Maddox Cooke;870723186;1921-06-06
Mcdaniel Poole;807077845;1977-12-21
Marsh Shannon;707633285;2003-05-13
Dawn Miller;761363585;1978-07-14
Heath Noble;309688607;1968-01-04
Phillips Cervantes;956658608;1921-04-17
Parrish Osborne;225711968;1943-07-01
Bradshaw Cross;742033744;1970-02-26
Dorsey Phillips;625685103;1980-07-18
Sweet Austin;524025966;1981-06-13
Schwartz Bass;212167052;2006-01-20
Chris Barker;523323042;2007-03-24
Jerri Landry;3502203;2006-01-24
Wilkerson Gamble;764426996;1951-09-07
Amparo Hatfield;800249046;1996-04-02
Angeline Barlow;413988022;1988-08-13
Dunlap Moreno;296414575;1932-08-07
Joy Buckley;339708171;1997-03-12
Sondra Fulton;297051684;1976-01-24
Aguirre Bond;508163953;1951-07-06
Kelley Watkins;545819706;2010-08-15
Everett Nunez;311228543;2005-06-20
Mack Whitley;840758675;1996-11-09
Chapman Morgan;511834226;1993-01-26
Adrian Garza;913253831;1950-10-25
Moreno Dillon;443910143;1943-01-31
Dillon Dodson;270426734;2014-03-25
Day Hood;718875229;1965-12-10
Candy Murphy;503668875;1956-07-22
Jones Hodge;717837182;2005-03-31
Marguerite Daniels;544309927;1943-09-10
Craft Goodwin;846629311;1964-07-05
Jocelyn Anthony;804589689;1983-07-09
Lee Henry;118051993;2001-07-04
King Mccoy;952077644;1975-06-09
Dale Ramsey;332328868;1983-07-24
Bobbie Brady;212978723;1916-07-21
Clay Mclaughlin;643550467;1922-10-21
Monica Frost;173593608;1954-07-02
Saunders Hammond;807683564;1934-12-30
Ferguson Strickland;300708891;1926-10-24
Mejia Branch;89753637;1982-06-28
Joseph Foreman;65208962;1924-08-30
Downs Gould;808351488;1933-07-26
Josefina Lindsey;165091018;1980-10-16
Julianne Spencer;450123884;1957-06-14
Hensley Carlson;834774657;1983-09-25
Bullock Contreras;310240552;1965-08-22
Walker Burt;321513283;2013-05-25
Yates Bush;853506047;1920-01-16
Burns Holmes;999401427;1972-03-05
Debra Avila;474433496;1963-08-28
Willie Herring;224132954;1954-05-22
Bush Freeman;674603050;1953-12-11
Wyatt Battle;244985778;2015-03-14
Lena Nelson;961592693;1948-08-30
Gay Torres;559509810;2015-06-28
Jensen Crane;951144511;1971-03-04
Claudette Williams;992480310;1939-12-26
Mari Bender;382784701;1932-06-11
Monroe Padilla;14890525;1923-10-21
Olivia Anderson;428774495;1939-02-16
Cote Charles;131814893;1929-03-04
Laverne Kirby;883166422;1979-11-17
Sexton Powers;221139963;1935-02-05
Nicole Chen;455069812;1939-12-07
Yolanda Hester;983272402;1944-06-11
Elise Kirkland;510894578;1994-04-07
Adeline Pacheco;71272836;1973-09-29
Guthrie York;593406412;1935-05-02
Jacqueline Knox;182188389;1989-08-01
Deena Richmond;861560038;1946-12-05
Warren Maddox;541763661;1918-12-09
Green Blackburn;156013719;1989-03-18
Copeland Silva;684478787;1967-08-24
Malinda Mann;605606312;1972-04-24
Teri Lynn;587106886;1993-11-04
Allyson Petty;934900340;1967-10-20
Medina Cote;679702897;1985-12-27
Duncan Nguyen;774768245;1940-04-21
Gray Swanson;544262479;1995-07-26
Harding Hewitt;199194680;1976-11-03
Hattie Fuller;639941120;1958-02-16
Becky Mayer;232562686;2000-07-17
Sonja Sargent;857252706;1932-04-26
Knapp Oconnor;509824835;1993-07-07
Sherrie Pierce;240907725;1950-06-06
Spencer Patel;468676763;1980-07-28
Carmella Cooley;747276834;1953-12-14
Albert Payne;163759783;1940-09-28
Susanna Wiggins;300228299;2001-10-03
Chambers Blake;837932844;1978-06-23
Woods Clarke;748078952;1967-10-19
Marks Mcguire;978652325;2010-08-19
Tracy Pitts;295890218;1926-12-13
Jaclyn Glenn;520160693;2010-09-04
Mercer Puckett;796342158;2011-10-05
Jackson Santiago;831459246;1928-12-29
Kayla Calhoun;388921165;1926-04-20
Cunningham Gallegos;886378071;1964-11-06
Preston Conley;789188410;1994-07-20
Gilmore Roach;707070193;1924-01-02
Melinda Becker;225166696;1941-12-25
Luella Bates;571770098;2013-09-18
Ortiz Thomas;227238933;2010-07-03
Welch Logan;145149343;1927-08-23
Eloise Edwards;92622611;1956-04-22
Webb Davenport;374065738;2016-03-30
Margaret Monroe;726333637;1967-12-26
Baird Mcdonald;763287174;1982-11-04
Audrey Parsons;294930916;1931-07-18
Harrison Mccormick;168636739;1939-05-18
Oneill Colon;827321197;1962-11-11
Rhonda Griffith;93170098;1955-05-10
Velez Underwood;844970204;2009-10-30
Britney Stein;283989492;1925-12-04
Katherine Hopkins;622912188;1948-10-29
Adrienne Ball;196006195;1999-02-22
Courtney Brooks;799962732;2014-01-16
Duffy Romero;282284966;1957-07-04
Florence Burks;315838646;1942-06-06
Phoebe Manning;530093456;2014-07-06
Madelyn Moran;741578858;2012-12-29
Cherry Davidson;789904510;1950-12-14
Bonita Harmon;852081709;1924-08-17
Hatfield Brewer;202384624;1934-10-25
Hardy Mathis;64949219;2004-01-10
Mavis King;957681069;1962-09-11
Riggs Sharp;294317034;1964-04-02
Cantrell Reynolds;167788529;1917-04-11
Kelsey Jacobson;850490856;1988-06-14
Solis Callahan;266236515;1995-11-16
Cohen Wilkerson;569584337;1917-08-24
Nunez Garcia;67353311;2015-07-11
Lea Harrison;201220326;1922-07-29
Lana Keith;763703992;2012-09-18
Nguyen Fox;698511678;1922-02-07
Wise Guerra;235599595;1941-11-06
Concetta Carver;958960513;2015-05-30
Bridgett Vincent;409372990;2011-09-27
Gonzales Bruce;503620534;2002-03-25
Alta Slater;985715187;1972-03-24
Moody Riggs;783151931;1943-12-27
Mayo Clements;978871596;1966-07-25
Merrill Hamilton;205098925;1977-09-14
Cara Mcdowell;561883031;1958-01-18
Kristen Bowen;524450907;1981-10-02
Buck Britt;39395101;1939-04-24
Hughes Galloway;157562100;1981-04-01
Deanna Terrell;148694635;1972-12-01
Branch Mcintyre;834338062;1965-02-09
Rojas Kemp;704205629;1954-04-21
Nita Humphrey;309320643;1999-09-23
Gale Townsend;65799545;1951-10-25
Bradford Barrett;859569952;1985-05-07
Stanton Combs;377159196;1980-11-28
Carrie Nicholson;758544030;2015-05-23
Phyllis Wynn;700658930;1959-10-30
Michelle Perry;780885152;1920-02-10
Bernadette Holder;326369312;1995-02-01
Kitty Roman;46246207;1915-11-19
Lisa Burgess;905907435;1942-03-08
Martinez Hobbs;832923178;1938-02-06
Walters Harvey;867886279;1985-04-26
Riddle Sanders;549825537;1980-06-23
Shaw Gibbs;459382402;2005-04-10
Padilla Burch;276630205;1963-11-29
Diane Alston;22660794;1939-12-12
Melton Collins;558967146;1930-05-19
Shannon Compton;790953076;1942-02-22
Russell Porter;604510548;1989-04-09
Suarez Rollins;850668091;1995-10-30
Hillary Patton;256059433;2011-01-01
Camacho Pollard;496274912;1970-10-06
Noel Buck;47735627;1976-05-29
Arnold Blevins;237296472;1928-11-07
